Date,Panel,Skipped,Praxis,Solo,People,Animals,Discourse,PosEmoji,NegEmoji,PosEmph,NegEmph,NeuEmph,PosWeather,NegWeather,Locals,Work,Friends,Stranger,Healthcare,Family,Dating,Anxiety,Dysphoria,Boundaries,SelfBlame,Play,Humor,Gratitude,Forward,SelfCare,Identity,All,DateInt,DateFloat,EpochInt
2019-01-21,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,All,15480288,0.21910112359550563,2
2019-01-21,3,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,All,15480288,0.21910112359550563,2
2019-01-22,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All,15481152,0.2247191011235955,2
2019-01-22,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All,15481152,0.2247191011235955,2
2019-01-22,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All,15481152,0.2247191011235955,2
2019-01-23,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,All,15482016,0.2303370786516854,2
2019-01-23,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,All,15482016,0.2303370786516854,2
2019-01-23,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,All,15482016,0.2303370786516854,2
2019-01-24,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,All,15482880,0.23595505617977527,2
2019-01-24,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,All,15482880,0.23595505617977527,2
